city,country,lat,lng,Revenue,qty
Baubau,Indonesia,-5.4699,122.6163,6000.78,6.0
Bauska,Latvia,56.4079,24.1944,5711.4,4.0
Bay Harbor Islands,United States,25.8878,-80.1335,950.2944999999999,1.0
Bay Hill,United States,28.4558,-81.5122,7485.0,5.0
Bayou Cane,United States,29.6244,-90.751,9497.909999999998,10.0
Bačka Palanka,Serbia,45.2519,19.3916,7500.0,5.0
Beacon Falls,United States,41.439,-73.0568,10003.6,10.0
Beaufort,United States,32.4606,-80.7245,5702.165999999999,6.0
Beavercreek,United States,39.731,-84.0624,1897.53,2.0
Bedford,United States,42.497,-71.2783,15000.0,10.0
Bedford,United States,42.9407,-71.5302,1901.387,2.0
Beihai,China,21.4804,109.1,5703.8,4.0
Bel Air,United States,39.5348,-76.346,1423.1,1.0
Bela Palanka,Serbia,43.2196,22.314,5700.0,4.0
Belaya Kalitva,Russia,48.1865,40.7861,9499.904999999999,10.0
Belfast,United Kingdom,54.6,-5.96,10486.0,7.0
Belgorod,Russia,50.63,36.5999,12008.0,8.0
Bella Vista,Paraguay,-22.1296,-56.52,8544.100499999999,9.0
Bella Vista,United States,36.4667,-94.2707,13500.0,9.0
Belle Chasse,United States,29.8472,-90.0069,950.437,1.0
Bellefontaine,United States,40.3627,-83.763,23550.0,8.0
Bellefonte,United States,40.9141,-77.7683,7505.0,5.0
Bellevue,United States,41.1536,-95.9357,9018.0,6.0
Bellmead,United States,31.6025,-97.0896,5996.0,4.0
Belmont,United States,35.2214,-81.0403,1499.0,1.0
Beltsville,United States,39.0394,-76.9211,3002.0,2.0
Belvedere Park,United States,33.7488,-84.2598,5996.0,4.0
Benbrook,United States,32.6787,-97.4638,14240.5,10.0
Benedikt v Slovenskih Goricah,Slovenia,46.6086,15.8883,7485.0,5.0
Bengkulu,Indonesia,-3.8,102.27,24223.1,8.5
Beni,Congo (Kinshasa),0.4904,29.45,12024.0,8.0
Benicia,United States,38.0704,-122.1541,2855.7,2.0
Benito Juárez,Argentina,-37.6655,-59.8,7115.5,5.0
Berdyans’k,Ukraine,46.7568,36.7868,1500.0,1.0
Bergamo,Italy,45.7004,9.67,9000.0,6.0
Bergen,Norway,60.391,5.3245,7003.57,7.0
Berkeley Heights,United States,40.6764,-74.4244,1997.8,2.0
Berkley,United States,39.8045,-105.0281,2848.1,2.0
Berri,Australia,-34.2829,140.6,4283.55,3.0
Bestöbe,Kazakhstan,52.4997,73.0997,14970.0,10.0
Bethel Park,United States,40.3239,-80.0364,4494.0,3.0
Bethlehem,United States,42.5856,-73.8219,4277.849999999999,3.0
Bexley,United States,39.965,-82.9343,7520.0,5.0
Beyneu,Kazakhstan,45.1834,55.1,11984.0,8.0
Bhairāhawā,Nepal,27.5333,83.3833,5701.767,6.0
Bharatpur,India,27.2504,77.5,7505.0,5.0
Bhuj,India,23.2504,69.81,9006.0,6.0
Bhusāval,India,21.02,75.83,2001.06,2.0
Biarritz,France,43.4733,-1.5616,12816.449999999999,9.0
Big Bear Lake,United States,34.2429,-116.895,11407.6,8.0
Big Lake,United States,45.3416,-93.7431,11400.0,8.0
Bilbao,Spain,43.25,-2.93,2850.0,2.0
Billerica,United States,42.5587,-71.2673,9975.0,7.0
Binga,Congo (Kinshasa),2.3834,20.42,1999.24,2.0
Bintulu,Malaysia,3.1664,113.036,2850.4559999999997,3.0
Binyin,Uganda,1.4167,34.5333,8555.699999999999,6.0
Binzhou,China,37.3704,118.02,5996.0,4.0
Birmingham,United Kingdom,52.475,-1.92,12816.449999999999,9.0
Birmingham,United States,42.5447,-83.2166,999.89,1.0
Birżebbuġa,Malta,35.8258,14.5269,2848.1,2.0
Bitam,Gabon,2.0837,11.4834,2850.0,2.0
Bitola,Macedonia,41.0391,21.3395,5701.824,6.0
Biên Hòa,Vietnam,10.97,106.8301,12000.0,8.0
Blackfoot,United States,43.194,-112.3455,17275.0,6.0
Blackstone,United States,42.0399,-71.5313,4506.0,3.0
Blaine,United States,48.9839,-122.7414,4280.7,3.0
Bloemhof,South Africa,-27.6496,25.59,14980.0,10.0
Bloomingdale,United States,41.03,-74.3319,9961.699999999999,7.0
Blytheville,United States,35.9322,-89.9051,12016.0,8.0
Bobo-Dioulasso,Burkina Faso,11.18,-4.29,9024.0,6.0
Bogotol,Russia,56.2165,89.5184,6652.0615,7.0
Bogovinje,Macedonia,41.9236,20.9136,949.9905,1.0
Bohinjska Bistrica,Slovenia,46.2769,13.955,14250.0,10.0
Bojnūrd,Iran,37.47,57.32,4275.0,3.0
Boli,China,45.7564,130.5759,7500.0,5.0
Boljevac,Serbia,43.8321,21.9609,7500.0,5.0
Bologoye,Russia,57.8722,34.0518,3001.38,3.0
Bolton,United States,42.4362,-71.6073,9988.3,7.0
Bolu,Turkey,40.7363,31.6061,13518.0,9.0
Bol’sheretsk,Russia,52.439,156.3594,5996.700000000001,6.0
Bondo,Congo (Kinshasa),3.81,23.67,9497.72,10.0
Bondurant,United States,41.6987,-93.4548,8994.0,6.0
Boonville,United States,38.9588,-92.7471,2844.2999999999997,2.0
Bor,Serbia,44.0819,22.0967,2850.0,2.0
Boralday,Kazakhstan,43.3341,76.8288,1502.0,1.0
Bordertown,Australia,-36.3162,140.7666,9975.0,7.0
Borgo Maggiore,San Marino,43.9408,12.4475,1424.05,1.0
Borovnica,Slovenia,45.9158,14.3631,6646.608499999999,2.5
Borzya,Russia,50.3886,116.5186,1425.95,1.0
Bothell,United States,47.7736,-122.2044,8005.04,8.0
Bougouni,Mali,11.4204,-7.49,9981.65,7.0
Boulder,United States,40.0249,-105.2523,13500.0,9.0
Boulsa,Burkina Faso,12.657,-0.569,2846.2,2.0
Bowen,Australia,-20.0013,148.2087,9968.35,7.0
Bowie,United States,33.5566,-97.844,14259.5,10.0
Bragança,Brazil,-1.05,-46.77,7202.8,2.5
Brainerd,United States,46.3553,-94.1983,7500.0,5.0
Brandermill,United States,37.434,-77.6522,5701.425,6.0
Brandon,United States,32.2778,-89.9896,950.3515,1.0
Brawley,United States,32.9783,-115.5288,13500.0,9.0
Brea,United States,33.9254,-117.8654,1000.73,1.0
Breaux Bridge,United States,30.2829,-91.9043,8496.150000000001,4.0
Brecksville,United States,41.3079,-81.6193,19531.0,6.5
Bredasdorp,South Africa,-34.5295,20.03,3000.5099999999998,3.0
Brent,United States,32.9421,-87.1753,14259.5,10.0
Brentwood,United States,35.9918,-86.7758,4277.849999999999,3.0
Brentwood,United States,37.9356,-121.719,4000.52,4.0
Brentwood,United States,38.6194,-90.3476,14970.0,10.0
Breves,Brazil,-1.68,-50.49,14250.0,10.0
Brewster,United States,41.7463,-70.0676,5703.8,4.0
Bridge City,United States,29.9321,-90.1594,4272.15,3.0
Bridgeport,United States,33.2099,-97.7709,5688.599999999999,4.0
Bristol,United States,36.5572,-82.2154,12816.449999999999,9.0
Brockton,United States,42.0821,-71.0242,8538.6,6.0
Brookfield,United States,41.4674,-73.3923,7510.0,5.0
Brookfield,United States,41.8245,-87.847,14161.349,4.0
Brookhaven,United States,40.8321,-72.9518,1899.772,2.0
Brookline,United States,42.7464,-71.6705,8551.111499999999,9.0
Brookville,United States,39.8393,-84.4176,13491.0,9.0
Brownfield,United States,33.1757,-102.273,8550.0,9.0
Brownsville,United States,25.998,-97.4565,2998.0,2.0
Brownsweg,Suriname,5.02,-55.17,8000.08,8.0
Brumado,Brazil,-14.21,-41.67,10500.0,7.0
Brvenica,Macedonia,41.9672,20.9808,15010.0,10.0
Bryant,United States,34.6152,-92.4912,7125.0,5.0
Brăila,Romania,45.292,27.969,4752.28,5.0
Buala,Solomon Islands,-8.1448,159.5905,12000.0,8.0
Buckeye,United States,33.4314,-112.6429,5697.948,6.0
Buckhall,United States,38.725,-77.4472,1000.0,1.0
Buda,United States,30.0847,-97.844,1900.2469999999998,2.0
Buea,Cameroon,4.155,9.231,3999.0,4.0
Buellton,United States,34.6152,-120.1943,7129.75,5.0
Buffalo,United States,45.1794,-93.8644,9503.609999999999,10.0
Bukachacha,Russia,52.9833,116.9166,10507.0,7.0
Bukhara,Uzbekistan,39.78,64.43,4002.56,4.0
Bukittinggi,Indonesia,-0.3031,100.3615,7490.0,5.0
Bulambuli,Uganda,1.1667,34.3833,7002.240000000001,7.0
Bulisa,Uganda,2.1178,31.4116,4269.3,3.0
Bull Mountain,United States,45.4126,-122.8322,14278.5,10.0
Bumba,Congo (Kinshasa),2.19,22.46,7129.75,5.0
Bundibugyo,Uganda,0.7085,30.0634,5992.0,4.0
Burbank,United States,41.7444,-87.7686,3995.6,4.0
Burgas,Bulgaria,42.5146,27.4746,8544.3,6.0
Burkburnett,United States,34.0746,-98.5672,8996.67,9.0
Burke Centre,United States,38.7903,-77.2998,3004.0,2.0
Burleson,United States,32.517,-97.3343,11407.6,8.0
Burley,United States,42.5379,-113.7928,4748.195,5.0
Burns Lake,Canada,54.217,-125.7666,11400.0,8.0
Burtnieki,Latvia,57.6949,25.275,1000.38,1.0
Bury,United Kingdom,53.6,-2.3,7006.3,7.0
Busia,Kenya,0.4586,34.116,5996.0,4.0
Busselton,Australia,-33.6564,115.3487,13473.0,9.0
Butler,United States,40.9989,-74.3472,15020.0,10.0
Butner,United States,36.1285,-78.7501,7604.94,8.0
Butwāl,Nepal,27.7006,83.4484,13500.0,9.0
Byron,United States,42.1273,-89.2622,12016.0,8.0
Byron Bay,Australia,-28.6565,153.6129,9981.65,7.0
Bərdə,Azerbaijan,40.3758,47.1262,6168.825,2.5
Cabadbaran,Philippines,9.1236,125.5344,4275.0,3.0
Cabo San Lucas,Mexico,22.8928,-109.9045,6994.610000000001,7.0
Caen,France,49.1838,-0.35,1503.0,1.0
Caernarfon,United Kingdom,53.15,-4.2667,8555.699999999999,6.0
Calais,France,50.9504,1.8333,5700.855,6.0
Caluula,Somalia,11.967,50.75,1000.69,1.0
Camaná,Peru,-16.6196,-72.72,5707.599999999999,4.0
Camargo,Mexico,27.6904,-105.1701,9975.0,7.0
Cambria,United States,43.1766,-78.8202,13500.0,9.0
Camiri,Bolivia,-20.05,-63.52,8544.3,6.0
Campeche,Mexico,19.83,-90.5,1424.05,1.0
Campo Belo,Brazil,-20.8896,-45.28,7505.0,5.0
Canavieiras,Brazil,-15.64,-38.96,7129.75,5.0
Cangamba,Angola,-13.6996,19.86,5999.46,6.0
Canton,United States,40.5632,-90.0409,1900.665,2.0
Capanema,Brazil,-1.19,-47.18,5000.05,5.0
Cape Dorset,Canada,64.3125,-76.5386,8000.08,8.0
Cape Girardeau,United States,37.3108,-89.5596,5711.4,4.0
Cape St. Claire,United States,39.0433,-76.4471,9975.0,7.0
Cape Town,South Africa,-33.92,18.435,9278.599999999999,4.0
Capitol Hill,Northern Mariana Islands,15.2137,145.7546,6998.95,7.0
Capitán Pablo Lagerenza,Paraguay,-19.9161,-60.7833,1999.56,2.0
Caracaraí,Brazil,1.8162,-61.1277,14259.5,5.0
Carhué,Argentina,-37.1829,-62.7333,1500.0,1.0
Caribou,United States,46.8662,-67.9919,24883.4,8.5
Carmel,United States,41.3898,-73.7239,1000.67,1.0
Carnarvon,South Africa,-30.9496,22.1333,4272.15,3.0
Carolina Beach,United States,34.0396,-77.8966,3801.6339999999996,4.0
Carson City,United States,39.1511,-119.7474,13506.505000000001,7.0
Carteret,United States,40.5848,-74.2284,3797.682,4.0
Casa de Oro-Mount Helix,United States,32.764,-116.9687,9012.0,6.0
Casas Adobes,United States,32.3423,-111.0114,3798.442,4.0
Cascavel,Brazil,-24.9596,-53.46,12008.0,8.0
Catalina Foothills,United States,32.3041,-110.8835,2848.1,2.0
Catskill,United States,42.2145,-73.8656,12000.0,8.0
Cawnpore,India,26.46,80.32,13500.0,9.0
Caxito,Angola,-8.5795,13.66,4277.849999999999,3.0
Cedar Hill,United States,32.5809,-96.9592,1502.0,1.0
Cedar Hills,United States,45.5047,-122.8052,9500.949999999999,10.0
Celina,United States,33.3189,-96.7866,2857.6,2.0
Centennial,United States,39.5926,-104.8674,3000.0,2.0
Center,United States,31.7929,-94.1795,19187.2,6.5
Center Point,United States,33.6446,-86.6851,10507.0,7.0
Centerton,United States,36.3559,-94.2972,3002.0,2.0
Central Coast,Australia,-33.42,151.3,949.6769999999999,1.0
Centreville,United States,38.5798,-90.1039,12000.0,8.0
Chaman,Pakistan,30.925,66.4463,5700.284999999999,6.0
Champotón,Mexico,19.3504,-90.72,10486.0,7.0
Chancay,Peru,-11.5596,-77.27,7505.0,5.0
Changchun,China,43.865,125.34,5696.2,4.0
Changling,China,44.27,123.99,14980.0,10.0
Changzhou,China,31.78,119.97,6012.0,4.0
Chapadinha,Brazil,-3.7395,-43.36,2850.0,2.0
Chapleau,Canada,47.8337,-83.4,12833.55,9.0
Charleston,United States,38.3484,-81.6323,9494.205,10.0
Charlestown,United States,43.2469,-72.3939,6004.0,4.0
Charlottesville,United States,38.0375,-78.4855,6000.0,4.0
Charter Oak,United States,34.1025,-117.8564,10507.0,7.0
Charters Towers,Australia,-20.0809,146.2587,1423.1,1.0
Chaska,United States,44.8164,-93.6092,3000.0,2.0
Cheney,United States,47.4901,-117.5789,13527.0,9.0
Chengde,China,40.9604,117.93,2850.0,2.0
Cheremkhovo,Russia,53.1588,103.0739,23392.0,8.0
Cherkessk,Russia,44.2904,42.06,1425.0,1.0
Chernivtsi,Ukraine,48.3053,25.9216,4500.0,3.0
Chester,United States,39.8456,-75.3719,11422.8,8.0
Chesterfield,United States,40.1165,-74.6459,7125.0,5.0
Chevy Chase,United States,38.9943,-77.0737,4750.4275,5.0
Chicago Ridge,United States,41.7034,-87.7795,16491.0,5.5
Chikwawa,Malawi,-16.042,34.8019,950.3894999999999,1.0
Chillicothe,United States,39.3393,-82.9937,9005.85,9.0
Chilliwack,Canada,49.1666,-121.95,1999.56,2.0
Chino Hills,United States,33.9507,-117.7253,7125.0,5.0
Chiramba,Mozambique,-16.8921,34.6559,5000.45,5.0
Chitré,Panama,7.97,-80.42,15030.0,10.0
Choctaw,United States,35.48,-97.2666,14259.5,10.0
Chon Buri,Thailand,13.4004,101.0,12851.543,5.0
Chornomors’k,Ukraine,46.3,30.6666,6994.610000000001,7.0
Chos Malal,Argentina,-37.383,-70.2666,8554.018499999998,9.0
Christiansburg,United States,37.1411,-80.4028,5996.0,4.0
Chula Vista,United States,32.6281,-117.0145,8544.3,6.0
Chulucanas,Peru,-5.0896,-80.17,8552.736,9.0
Church Hill,United States,36.5204,-82.7151,1899.278,2.0
Chusovoy,Russia,58.2934,57.813,8538.6,6.0
Chŏngju,"Korea, North",39.6813,125.2163,2001.26,2.0
Cibla,Latvia,56.5498,27.8837,7125.0,5.0
City of Orange,United States,40.7682,-74.2348,7134.5,5.0
Ciudad Constitución,Mexico,25.04,-111.66,10486.0,7.0
Ciudad Cortés,Costa Rica,8.9604,-83.53,2998.0,2.0
Claiborne,United States,32.5379,-92.1981,5996.0,4.0
Clarence,United States,43.0196,-78.6375,4000.24,4.0
Clark,United States,40.6203,-74.3135,5703.8,4.0
Clayton,United States,37.9403,-121.9301,7129.75,5.0
Clear Lake,United States,43.1346,-93.374,1500.0,1.0
Clermont,United States,28.5403,-81.7296,999.88,1.0
Clermont-Ferrand,France,45.78,3.08,7601.139999999999,8.0
Cleveland Heights,United States,41.5112,-81.5636,4500.0,3.0
Clifton Springs,United States,42.9608,-77.1348,5000.45,5.0
Clinton,United States,35.0005,-78.3311,7115.5,5.0
Cliza,Bolivia,-17.59,-65.93,5992.0,4.0
Closter,United States,40.9733,-73.9604,4494.0,3.0
Clover,United States,35.1123,-81.2201,8988.0,6.0
Coalcomán de Vázquez Pallares,Mexico,18.7804,-103.15,16984.13,8.5
Coalinga,United States,36.1432,-120.3266,9501.425,10.0
Cobalt,Canada,47.3837,-79.6833,949.6484999999999,1.0
Cobija,Bolivia,-11.0333,-68.7333,2848.1,2.0
Cobán,Guatemala,15.47,-90.38,8552.992499999998,9.0
Cochran,United States,32.3875,-83.3523,2996.0,2.0
Cocoa West,United States,28.3595,-80.7712,9000.9,9.0
Coeymans,United States,42.4936,-73.8835,4266.45,3.0
Coffeyville,United States,37.0519,-95.6179,21899.4,7.5
College,United States,64.8694,-147.8217,12000.380000000001,5.0
College Park,United States,38.996,-76.9337,14259.5,10.0
Collinsville,United States,36.372,-95.8607,6000.0,4.0
Collinsville,United States,36.7215,-79.9122,10004.8,10.0
Colona,United States,41.4678,-90.3446,2850.0,2.0
Colorado City,United States,32.3995,-100.8582,1500.0,1.0
Colorado City,United States,36.9774,-112.983,5702.906999999999,6.0
Colorado Springs,United States,38.8674,-104.7606,7125.0,5.0
Colts Neck,United States,40.2928,-74.168,7129.75,5.0
Columbia,United States,34.0376,-80.9037,7500.0,5.0
Columbia,United States,35.6236,-87.0487,950.437,1.0
Columbia,United States,38.9477,-92.3255,13068.094000000001,4.0
Columbia,United States,39.2004,-76.859,2848.1,2.0
Columbus,United States,33.5088,-88.4097,4494.0,3.0
Comandante Luis Piedra Buena,Argentina,-49.9745,-68.9035,5996.0,4.0
Combee Settlement,United States,28.0596,-81.9053,8555.699999999999,6.0
Como,Italy,45.81,9.08,12000.0,8.0
Comstock Park,United States,43.0438,-85.6779,4275.0,3.0
Concord,United States,42.545,-78.7075,14259.5,10.0
Concordia,Argentina,-31.3896,-58.03,15020.0,10.0
Congers,United States,41.1484,-73.9456,3803.61,4.0
Conjeeveram,India,12.8337,79.7167,1423.1,1.0
Conley,United States,33.6398,-84.3376,948.5465,1.0
Conning Towers Nautilus Park,United States,41.3855,-72.0686,8082.144,3.5
Constitución,Chile,-35.3296,-72.42,7120.25,5.0
Conway,United States,33.8403,-79.0422,7139.25,5.0
Conwy,United Kingdom,53.2833,-3.8333,15020.0,10.0
Coral Gables,United States,25.7037,-80.2715,7002.87,7.0
Coral Harbour,Canada,64.1538,-83.1766,9509.025,10.0
Corning,United States,39.9282,-122.182,1425.0,1.0
Corona de Tucson,United States,31.9495,-110.7836,6648.7365,7.0
Corozal,Puerto Rico,18.3411,-66.3124,7510.0,5.0
Corrales,United States,35.2366,-106.6191,3801.9379999999996,4.0
Corrientes,Argentina,-27.49,-58.81,12816.449999999999,9.0
Cortland,United States,42.6004,-76.1784,10894.703,4.0
Cortlandville,United States,42.5892,-76.1615,13493.0,4.5
Cospicua,Malta,35.8856,14.5275,1899.031,2.0
Cottage Grove,United States,43.7961,-123.0573,1499.0,1.0
Cottonwood Heights,United States,40.6137,-111.8144,10507.0,7.0
Country Club,United States,25.9407,-80.3102,9004.77,9.0
Countryside,United States,41.7741,-87.8752,7598.86,8.0
Covina,United States,34.0903,-117.8817,1998.9,2.0
Covington,United States,30.4808,-90.1122,1499.0,1.0
Craiova,Romania,44.3263,23.8259,8550.855,9.0
Cranbrook,Canada,49.5167,-115.7667,1999.18,2.0
Cranston,United States,41.7658,-71.4858,6016.0,4.0
Crawford,United States,41.5685,-74.3168,4275.0,3.0
Cresson,United States,40.4626,-78.5866,8996.67,9.0
Crestline,United States,34.2486,-117.289,8000.8,8.0
